"","Nome do Contrato","Inscrição Genérica","Mutuário","Tipo Mutuário","UF","Região","Agrupador de Tipo Mutuário","CAPAG","Tipo","Credor","Classificação de Credor","Contragarantia","Fase","Projeto","Número do Processo","ROF/CADIP","Data de Assinatura","Data Limite de Desembolso","Indexador do Contrato","Tipo de Indexador de Juros","Indexador de Juros","Moeda","Valor Contratado Original","Saldo a Desembolsar","Saldo Devedor","Mutuario","Assinatura","Ano","Status","Tipo_Mutuario"
"1","AFD CBR 1031",12232,"Toledo","Municípios","PR","Sul","Garantias a Estados, Municípios e Entidades Controladas",NA,"Externa","AFD","Agências Governamentais","Transferências Constitucionais - Art. 155, 157 e 159 da CF/88","Amortizando","Programa de Desenvolvimento Ambiental e Sustentável do Município de Toledo","17944.000031/2011-74","TA601047","31/07/2012","30/11/2017",NA,"Tranche Efetiva 1: Pré-fixado, Tranche Efetiva 2: Pré-fixado, Tranche Efetiva 3: Pré-fixado, Tranche Prevista 1: Pré-fixado","Tranche Efetiva 1: 2,78%, Tranche Efetiva 2: 1,36%, Tranche Efetiva 3: 1,21%, Tranche Prevista 1: 2,78%","EUR",9.463,0,7885833.3,"Toledo",2012-07-31,2012,"Ativo","Municipios"
"2","AFD CBR 1042",12246,"Rio de Janeiro","Estados","RJ","Sudeste","Garantias a Estados, Municípios e Entidades Controladas","D","Externa","AFD","Agências Governamentais","Transferências Constitucionais - Art. 155, 157 e 159 da CF/88","Amortizando","Apoio ao Programa de Integração e Mobilidade Urbana da Região Metropolitana do Rio de Janeiro","17944.000517/2012-93","TA621694","09/10/2012","30/06/2017",NA,"Tranche Efetiva 1: Pré-fixado, Tranche Efetiva 2: Pré-fixado, Tranche Prevista 1: Pré-fixado","Tranche Efetiva 1: 4,246%, Tranche Efetiva 2: 4,09%, Tranche Prevista 1: 4,246%","USD",394.5,0,355050000,"Rio de Janeiro",2012-10-09,2012,"Ativo","Estados"
"3","AFD CBR 1043",12248,"CEEE-GT-RS","Entidades Estaduais Controladas","RS","Sul","Garantias a Estados, Municípios e Entidades Controladas",NA,"Externa","AFD","Agências Governamentais","Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88","Amortizando","Programa de Expansão e Modernização do Sistema Elétrico de Porto Alegre e Área de Abrangência da CEEE-GT","17944.000242/2012-98","TA630781","21/12/2012","21/01/2019",NA,"Tranche Efetiva 1: Pré-fixado, Tranche Efetiva 2: Pré-fixado, Tranche Efetiva 3: Pré-fixado, Tranche Efetiva 4: Pré-fixado, Tranche Efetiva 5: Pré-fixado, Tranche Efetiva 6: Pré-fixado, Tranche Prevista 1: Pré-fixado","Tranche Efetiva 1: 4,24%, Tranche Efetiva 2: 4,95%, Tranche Efetiva 3: 4,94%, Tranche Efetiva 4: 4,25%, Tranche Efetiva 5: 4,39%, Tranche Efetiva 6: 5,09%, Tranche Prevista 1: 4,24%","USD",59.103957,0,51498560.45,"CEEE-GT-RS",2012-12-21,2012,"Ativo","Entidades Controladas"
"4","AFD CBR 1045",12241,"CEEE-D-RS","Entidades Estaduais Controladas","RS","Sul","Garantias a Estados, Municípios e Entidades Controladas",NA,"Externa","AFD","Agências Governamentais","Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88","Amortizando","Programa de Expansão e Modernização do Sistema Elétrico da Região Metropolitana de Porto Alegre e da Área de Abrangência do Grupo CEEE ¿ Pró-Energia RS e  a Agência Francesa de Desenvolvimento ¿ AFD","17944.001775/2011-14","TA612684","26/09/2012","30/09/2018",NA,"Tranche Efetiva 1: Pré-fixado, Tranche Efetiva 2: Pré-fixado, Tranche Efetiva 3: Pré-fixado, Tranche Efetiva 4: Pré-fixado, Tranche Efetiva 5: Pré-fixado, Tranche Prevista 1: Pré-fixado","Tranche Efetiva 1: 4,02%, Tranche Efetiva 2: 4,81%, Tranche Efetiva 3: 4,7%, Tranche Efetiva 4: 4,25%, Tranche Efetiva 5: 4,33%, Tranche Prevista 1: 4,02%","USD",87.457986,0,75525384,"CEEE-D-RS",2012-09-26,2012,"Ativo","Entidades Controladas"
"5","AFD CBR 1046",12247,"Minas Gerais","Estados","MG","Sudeste","Garantias a Estados, Municípios e Entidades Controladas","D","Externa","AFD","Agências Governamentais","Transferências Constitucionais - Art. 155, 157 e 159 da CF/88","Amortizando","Programa de Apoio aos Investimentos em Infraestrutura de Serviços Básicos (CRC-CEMIG)","17944.000480/2012-01","TA630381","03/12/2012","30/06/2017",NA,"Tranche Efetiva 1: Pré-fixado, Tranche Prevista 1: Pré-fixado","Tranche Efetiva 1: 3,21%, Tranche Prevista 1: 3,21%","EUR",300,0,2.6e+08,"Minas Gerais",2012-12-03,2012,"Ativo","Estados"
"6","AFD CBR 1049",12251,"São Paulo","Estados","SP","Sudeste","Garantias a Estados, Municípios e Entidades Controladas","B","Externa","AFD","Agências Governamentais","Transferências Constitucionais - Art. 155, 157 e 159 da CF/88","Amortizando","Implantação da Linha 13 Jade da Companhia Paulista de Trens Metropolitanos - CPTM","17944.000486/2013-51","TA661512","03/07/2014","15/04/2019",NA,"Tranche Efetiva 1: Pré-fixado, Tranche Efetiva 2: Pré-fixado, Tranche Efetiva 3: Pré-fixado, Tranche Efetiva 4: Pré-fixado, Tranche Efetiva 5: Pré-fixado, Tranche Prevista 1: Pré-fixado","Tranche Efetiva 1: 3,1%, Tranche Efetiva 2: 2,6%, Tranche Efetiva 3: 2,38%, Tranche Efetiva 4: 2,27%, Tranche Efetiva 5: 2,31%, Tranche Prevista 1: 3,1%","EUR",300,0,2.9e+08,"Sao Paulo",2014-07-03,2014,"Ativo","Estados"
"7","AFD CBR 3005",12231,"Curitiba","Municípios","PR","Sul","Garantias a Estados, Municípios e Entidades Controladas",NA,"Externa","AFD","Agências Governamentais","Transferências Constitucionais - Art. 155, 157 e 159 da CF/88","Amortizando","Programa e Recuperação Ambiental e Ampliação da Capacidade da Rede Integrada de Transporte","19406.000744/2008-55","TA476555","19/07/2011","31/07/2017",NA,"Tranche Efetiva 1: Pré-fixado, Tranche Prevista 1: Pré-fixado","Tranche Efetiva 1: 1,06%, Tranche Prevista 1: 0,25%","EUR",36.15,0,28920000,"Curitiba",2011-07-19,2011,"Ativo","Municipios"
"8","BANK OF AMERICA-MA/2013",12203,"Maranhão","Estados","MA","Nordeste","Garantias a Estados, Municípios e Entidades Controladas","C","Externa","BOFA","Credores Privados","Transferências Constitucionais - Art. 155, 157 e 159 da CF/88","Amortizando","Financiamento da quitação do resíduo das dívidas constituídas (Leis Federais nºs 8727/93 e 9496/97)","17944.000206/2013-13","TA652763","23/07/2013","31/07/2017",NA,"Tranche Efetiva 1: Pré-fixado, Tranche Prevista 1: Pré-fixado","Tranche Efetiva 1: 5,477%, Tranche Prevista 1: 5,477%","USD",661.96712134,0,371600292.63,"Maranhao",2013-07-23,2013,"Ativo","Estados"
"9","BANK OF AMERICA-MT/2012",12204,"Mato Grosso","Estados","MT","Centro-Oeste","Garantias a Estados, Municípios e Entidades Controladas","C","Externa","BOFA","Credores Privados","Transferências Constitucionais - Art. 155, 157 e 159 da CF/88","Concluído","Reestruturação de parte das dívidas do Estado de Mato Grosso oriundas de leis federais","17944.001622/2011-69",NA,"10/09/2012","31/07/2017",NA,"Tranche Prevista 1: Pré-fixado","Tranche Prevista 1: 5%","USD",478.95833051,0,0,"Mato Grosso",2012-09-10,2012,"Concluido","Estados"
"10","BANK OF AMERICA-SC/2012",12202,"Santa Catarina","Estados","SC","Sul","Garantias a Estados, Municípios e Entidades Controladas","C","Externa","BOFA","Credores Privados","Transferências Constitucionais - Art. 155, 157 e 159 da CF/88","Amortizando","Refinanciamento do Resíduo da Dívida do Estado de Santa Catarina","17944.001299/2012-12","TA634758","27/12/2012","31/07/2017",NA,"Tranche Efetiva 1: Pré-fixado, Tranche Prevista 1: Pré-fixado","Tranche Efetiva 1: 4%, Tranche Prevista 1: 4%","USD",726.441566,0,322512182,"Santa Catarina",2012-12-27,2012,"Ativo","Estados"
